start_time,end_time,labelid,label,duration
1.5,3.02,1,Gesture,1.52
3.42,5.54,2,Gesture,2.12
5.9,6.78,3,Gesture,0.8799999999999999
9.58,9.82,4,Gesture,0.2400000000000002
11.38,11.74,5,Gesture,0.35999999999999943
12.98,14.3,6,Gesture,1.3200000000000003
15.02,17.46,7,Gesture,2.4400000000000013
