start_time,end_time,labelid,label,duration
0.36,0.64,1,Gesture,0.28
10.64,10.96,2,Gesture,0.3200000000000003
11.28,11.64,3,Gesture,0.3600000000000012
26.04,27.0,4,Gesture,0.9600000000000009
28.36,28.72,5,Gesture,0.35999999999999943
29.24,29.68,6,Gesture,0.4400000000000013
34.12,34.76,7,Gesture,0.6400000000000006
36.92,37.36,8,Gesture,0.4399999999999977
38.4,39.12,9,Gesture,0.7199999999999989
43.72,44.44,10,Gesture,0.7199999999999989
51.08,52.44,11,Gesture,1.3599999999999994
52.76,53.2,12,Gesture,0.44000000000000483
53.6,53.88,13,Gesture,0.28000000000000114
55.76,56.24,14,Gesture,0.480000000000004
56.56,57.48,15,Gesture,0.9199999999999946
59.52,60.52,16,Gesture,1.0
61.36,61.92,17,Gesture,0.5600000000000023
64.08,64.72,18,Gesture,0.6400000000000006
68.28,69.8,19,Gesture,1.519999999999996
70.12,72.16,20,Gesture,2.039999999999992
73.44,74.12,21,Gesture,0.6800000000000068
74.72,76.44,22,Gesture,1.7199999999999989
98.32,99.08,23,Gesture,0.7600000000000051
100.04,100.56,24,Gesture,0.519999999999996
103.08,103.64,25,Gesture,0.5600000000000023
116.92,117.24,26,Gesture,0.3199999999999932
118.28,118.64,27,Gesture,0.35999999999999943
119.2,120.88,28,Gesture,1.6799999999999926
121.48,122.08,29,Gesture,0.5999999999999943
122.96,124.24,30,Gesture,1.2800000000000011
124.92,127.8,31,Gesture,2.8799999999999955
128.16,128.76,32,Gesture,0.5999999999999943
135.4,135.8,33,Gesture,0.4000000000000057
136.64,137.08,34,Gesture,0.44000000000002615
138.36,138.88,35,Gesture,0.5199999999999818
139.6,140.04,36,Gesture,0.4399999999999977
140.44,140.96,37,Gesture,0.5200000000000102
141.32,141.6,38,Gesture,0.28000000000000114
142.28,142.92,39,Gesture,0.6399999999999864
143.8,145.12,40,Gesture,1.3199999999999932
145.84,146.44,41,Gesture,0.5999999999999943
148.2,148.48,42,Gesture,0.28000000000000114
150.68,151.04,43,Gesture,0.3599999999999852
152.52,154.0,44,Gesture,1.4799999999999898
156.24,157.4,45,Gesture,1.1599999999999966
