start,end,timemiddle,gesture,has_motion,nodding_prob,turning_prob
0.0,0.5,0.25,undefined,0.9992805123329163,0.02632555179297924,0.8981414437294006
0.25,0.75,0.5,undefined,0.9990013241767883,0.05513318255543709,0.6876229643821716
0.5,1.0,0.75,stationary,0.06536304205656052,0.04343822970986366,0.3010849058628082
0.75,1.25,1.0,stationary,0.28419482707977295,0.04207627475261688,0.4398445188999176
1.0,1.5,1.25,undefined,0.9999968409538269,0.7166532278060913,0.13061347603797913
1.25,1.75,1.5,clapping,0.9999979138374329,0.00963437370955944,0.011478172615170479
1.5,2.0,1.75,undefined,0.9964375495910645,0.4536780118942261,0.02910640649497509
1.75,2.25,2.0,undefined,0.9958680868148804,0.023543108254671097,0.8859004378318787
2.0,2.5,2.25,stationary,0.0008535314700566232,0.07885441929101944,0.2953468859195709
2.25,2.75,2.5,stationary,0.33641836047172546,0.04102581366896629,0.12688159942626953
2.5,3.0,2.75,stationary,0.08708935976028442,0.06924613565206528,0.6732670664787292
2.75,3.25,3.0,stationary,2.3519378373748623e-05,0.11456076800823212,0.071488156914711
3.0,3.5,3.25,stationary,0.004810603801161051,0.0270028468221426,0.0995061919093132
3.25,3.75,3.5,stationary,0.007964586839079857,0.03566107526421547,0.14082585275173187
3.5,4.0,3.75,stationary,0.0012677103513851762,0.11814070492982864,0.26090574264526367
3.75,4.25,4.0,undefined,0.9990317821502686,0.05670939385890961,0.8564015030860901
4.0,4.5,4.25,stationary,0.6696914434432983,0.045215170830488205,0.2453732192516327
4.25,4.75,4.5,undefined,0.8723634481430054,0.1387902796268463,0.3420133590698242
4.5,5.0,4.75,undefined,0.7962832450866699,0.05336286127567291,0.8530126214027405
4.75,5.25,5.0,stationary,0.07837828993797302,0.03754793480038643,0.30911773443222046
5.0,5.5,5.25,undefined,0.9997753500938416,0.07054565846920013,0.7338997721672058
5.25,5.75,5.5,undefined,0.999557614326477,0.14683768153190613,0.7385029196739197
5.5,6.0,5.75,undefined,0.9370040893554688,0.027167798951268196,0.14613133668899536
5.75,6.25,6.0,undefined,0.9477601647377014,0.0294939074665308,0.284353643655777
6.0,6.5,6.25,stationary,0.3113152086734772,0.04649209976196289,0.6481795907020569
6.25,6.75,6.5,stationary,0.00016685343871358782,0.07482896000146866,0.06140590459108353
6.5,7.0,6.75,stationary,0.0030235801823437214,0.10709455609321594,0.4366869330406189
6.75,7.25,7.0,stationary,0.14327770471572876,0.031471796333789825,0.2244979590177536
7.0,7.5,7.25,stationary,1.1093009561591316e-05,0.035607025027275085,0.0613805428147316
