start,end,timemiddle,gesture,has_motion,nodding_prob,turning_prob
0.0,1.0,0.5,stationary,1.3177392474972294e-06,0.040251780301332474,0.033845093101263046
0.25,1.25,0.75,undefined,0.9998159408569336,0.8830913305282593,0.04068485647439957
0.5,1.5,1.0,nodding,0.9999716877937317,0.9599844217300415,0.02455829456448555
0.75,1.75,1.25,nodding,0.9999990463256836,0.9529310464859009,0.02625983953475952
1.0,2.0,1.5,nodding,1.0,0.9601486921310425,0.022926557809114456
1.25,2.25,1.75,nodding,0.9999999403953552,0.954250693321228,0.026246773079037666
1.5,2.5,2.0,nodding,1.0,0.9779427647590637,0.013063992373645306
1.75,2.75,2.25,nodding,0.9999999403953552,0.9719242453575134,0.017930742353200912
2.0,3.0,2.5,nodding,0.9999999403953552,0.9776952862739563,0.01362091489136219
2.25,3.25,2.75,nodding,0.9999996423721313,0.9745691418647766,0.016484543681144714
2.5,3.5,3.0,nodding,0.9999999403953552,0.9868293404579163,0.008379480801522732
2.75,3.75,3.25,nodding,0.9999999403953552,0.9758613705635071,0.014380344189703465
3.0,4.0,3.5,nodding,0.9999991059303284,0.976677656173706,0.014008470810949802
3.25,4.25,3.75,nodding,0.999998927116394,0.972732424736023,0.015128135681152344
3.5,4.5,4.0,nodding,0.9999995231628418,0.9905056357383728,0.004855720791965723
3.75,4.75,4.25,nodding,0.9985729455947876,0.9789505004882812,0.012050658464431763
4.0,5.0,4.5,nodding,0.9981949925422668,0.9872859120368958,0.006375228986144066
4.25,5.25,4.75,nodding,0.9997752904891968,0.989450991153717,0.006852219346910715
4.5,5.5,5.0,nodding,0.9999994039535522,0.9761652946472168,0.013390340842306614
4.75,5.75,5.25,nodding,0.9999904036521912,0.9825387001037598,0.009282185696065426
5.0,6.0,5.5,nodding,0.9999991059303284,0.9848122596740723,0.009226294234395027
5.25,6.25,5.75,nodding,0.9999960064888,0.9758006930351257,0.012260748073458672
5.5,6.5,6.0,undefined,0.9996396899223328,0.9412428140640259,0.02260260470211506
5.75,6.75,6.25,undefined,0.8457751274108887,0.6091359853744507,0.07814813405275345
