start_time,end_time,labelid,label,duration
1.88,2.96,1,Gesture,1.08
5.8,6.48,2,Gesture,0.6800000000000006
6.92,8.64,3,Gesture,1.7200000000000006
9.52,10.2,4,Gesture,0.6799999999999997
10.88,11.8,5,Gesture,0.9199999999999999
12.72,13.96,6,Gesture,1.2400000000000002
23.44,24.92,7,Gesture,1.4800000000000004
25.72,26.64,8,Gesture,0.9200000000000017
32.72,33.04,9,Gesture,0.3200000000000003
33.68,34.84,10,Gesture,1.1600000000000037
36.0,37.44,11,Gesture,1.4399999999999977
42.88,45.64,12,Gesture,2.759999999999998
48.68,50.0,13,Gesture,1.3200000000000003
52.04,54.52,14,Gesture,2.480000000000004
60.0,62.36,15,Gesture,2.3599999999999994
63.44,64.52,16,Gesture,1.0799999999999983
64.96,65.32,17,Gesture,0.35999999999999943
66.84,71.08,18,Gesture,4.239999999999995
71.48,71.96,19,Gesture,0.47999999999998977
72.92,73.96,20,Gesture,1.039999999999992
74.32,74.8,21,Gesture,0.480000000000004
75.72,76.44,22,Gesture,0.7199999999999989
77.44,78.28,23,Gesture,0.8400000000000034
84.04,84.96,24,Gesture,0.9199999999999875
88.8,97.72,25,Gesture,8.920000000000002
100.2,101.12,26,Gesture,0.9200000000000017
101.6,103.28,27,Gesture,1.6800000000000068
104.2,110.28,28,Gesture,6.079999999999998
112.16,118.68,29,Gesture,6.52000000000001
119.12,121.24,30,Gesture,2.1199999999999903
127.64,129.6,31,Gesture,1.9599999999999937
130.84,133.96,32,Gesture,3.1200000000000045
134.76,135.36,33,Gesture,0.6000000000000227
136.12,139.8,34,Gesture,3.680000000000007
140.36,141.68,35,Gesture,1.3199999999999932
143.04,144.76,36,Gesture,1.7199999999999989
145.36,148.36,37,Gesture,3.0
149.6,152.04,38,Gesture,2.4399999999999977
