time,X_RIGHT_WRIST,Y_RIGHT_WRIST,Z_RIGHT_WRIST,env,Z_RIGHT_WRISTlowpass10,Z_RIGHT_WRISTlowpass30,Z_RIGHT_WRISTguassianfilt,speed,vertical_velocity,acceleration,jerk,labelid,label
0.0,-0.1845894865978837,0.2995434847376944,-0.5281603411162034,0.0198325848455997,-0.5281903503212826,-0.5281605396860225,-0.5358937234914422,-7.067944728165847e-06,5.244288544615019e-09,-4.964340922716803e-06,-7.862437838151992e-07,,
10.0,-0.1837166896589274,0.2961273620272825,-0.5344408199979461,0.0180002745005905,-0.5350043322634577,-0.5336287690638649,-0.5387948039541706,0.5629512902106074,-0.0002412617844909,0.3061116193883868,0.1009486880855926,,
20.0,-0.1828420975533554,0.2926639002284922,-0.5423313335850168,0.0196629255719302,-0.542303172711293,-0.5420505240199078,-0.5438998428024836,0.8883118328819486,-0.0003600505394455,0.3302572892485515,0.0356366419477844,,
30.0,-0.1819697046727836,0.2892981887487803,-0.5510824286796137,0.0288004853360587,-0.5496687077717561,-0.5514159667742953,-0.5501158078899415,0.9348536040101773,-0.0003536751158136,0.1218683788456565,-0.1151548745880366,,
40.0,-0.1811120650618104,0.2863920860775789,-0.5586121204924187,0.0505236661178792,-0.5563034314973362,-0.5590922710186289,-0.5563936550676958,0.8081647688739846,-0.0002896034627605,-0.0866461052422171,-0.1745588883555811,,
50.0,-0.1802812977652597,0.2841836169004849,-0.5641074128440551,0.0907594747647738,-0.5617841679098281,-0.5638486098086413,-0.5620476572335436,0.6372733817871172,-0.0002205895839971,-0.1681071340903212,-0.1077428293156824,,
60.0,-0.179474472275697,0.2824798534573658,-0.5685787772481784,0.1565783573447766,-0.566332152836784,-0.5678522624416262,-0.5667689666844881,0.5082888380810566,-0.000176710535964,-0.1459714096527472,-0.0064903997351463,,
70.0,-0.1786591278941362,0.2807988350973535,-0.5728682789791366,0.2537631724697481,-0.5701297747582329,-0.5724420576379086,-0.5704152661386752,0.4318681012151624,-0.0001756631492083,-0.090979915842782,0.0506458166923509,,
80.0,-0.1777718586686674,0.2786757327944416,-0.5761046427410755,0.3793541476301855,-0.5728634951217678,-0.5765328167518422,-0.5728579729294943,0.3817942734567197,-0.0002157389125285,-0.0449387505499558,0.0551174163849667,,
90.0,-0.1767600386993731,0.2759149572692631,-0.5769124667561178,0.5143482542176048,-0.5740687942718568,-0.5769629900002491,-0.5740573107345841,0.3577716998996557,-0.0002727152415592,-0.0153078762661382,0.0336375709926321,,
100.0,-0.1756484285829151,0.2727146470063489,-0.5754340192128249,0.6234139204478063,-0.5740233354023956,-0.5753170855537562,-0.5742227979993025,0.3620292919772157,-0.0003123363680766,-0.0044568396504366,0.0071350288463295,,
110.0,-0.1745944823460052,0.2695286434003425,-0.5733093194764295,0.6727508193522451,-0.5733945047430491,-0.5731785359554613,-0.5738035481965909,0.3556131563900879,-0.0003107914604813,-0.0180397838344286,-0.0146313430529131,,
120.0,-0.1738531554850362,0.2668155569661002,-0.572218247184281,0.6563972467530411,-0.572832254537311,-0.5716749655242097,-0.573260808613689,0.3034952029933784,-0.0002692134003718,-0.0468094822731551,-0.023096966324696,,
130.0,-0.1735554796891452,0.264760449294857,-0.5724800226723432,0.585540169026107,-0.5726734895622746,-0.5727358562598018,-0.5728248425934164,0.2269633479544858,-0.0002118674256353,-0.0641640744838707,-0.0125739131417063,,
140.0,-0.1735594882226765,0.2631473936930692,-0.5729455367445082,0.4761392028217672,-0.5725091043541854,-0.573369218844976,-0.5724534794179972,0.17191274948608,-0.0001683276959408,-0.0517089385653203,0.0105486310601165,,
150.0,-0.1736496726664768,0.2616212858206392,-0.5726608719068246,0.3496714970495647,-0.5720170831577298,-0.5725947637900599,-0.5719871209385501,0.158846971001254,-0.0001538736908388,-0.0170254098236814,0.0294434645812098,,
160.0,-0.1737590837411354,0.2599738938702729,-0.5718516667875186,0.2322408617418935,-0.571276520913516,-0.5713860080212416,-0.5713130972128071,0.1789829423556446,-0.0001642677059958,0.0167979873712229,0.0303656035693725,,
170.0,-0.1739100634964211,0.2581495281078343,-0.5708978703116652,0.1434362226947309,-0.570439236227807,-0.5709852763804425,-0.5704113329767,0.2123366982411726,-0.0001837283873136,0.0306075519259903,0.0131587281440453,,
180.0,-0.1740983248099339,0.256200074033896,-0.5695754283422999,0.0888726279300455,-0.569375769394604,-0.5700170922854462,-0.5693320201446295,0.2357921379612825,-0.0001930005216101,0.0186985695802868,-0.0099902334766253,,
190.0,-0.174327594206799,0.2543581643277928,-0.5679319709743087,0.0624708196126445,-0.5680893963322148,-0.5676154234551365,-0.568174364422257,0.2272065792441324,-0.0001754469356735,-0.0096267939809254,-0.0238717574527482,,
200.0,-0.1746663455235091,0.253023807170213,-0.5666344095269413,0.0530727752796876,-0.5669604090126925,-0.5664051447136531,-0.5670480244115332,0.1844735016730397,-0.0001277137190854,-0.0343093838314095,-0.0208320289296552,,
210.0,-0.1751762313068547,0.2524156923275011,-0.5658609637859906,0.0515275889279567,-0.5660492440563282,-0.5659904768920049,-0.5660151084113951,0.1369957185902733,-6.741176946263163e-05,-0.039182392765778,-0.0064675587810098,,
220.0,-0.1758148571505817,0.2523022892783569,-0.5650417505875927,0.0529219876685642,-0.5651738500452452,-0.5654318089075876,-0.5650810759221082,0.1135641943128293,-2.174919139895753e-05,-0.0277254036588273,0.0052076833730816,,
