gesture_id,video_id,active_hand,space_use,mcneillian_max,mcneillian_mode,volume,max_height,duration,hold_count,hold_time,hold_avg_duration,hand_submovements,hand_submovement_peak_max,hand_submovement_peak_mean,hand_mean_submovement_amplitude,elbow_submovements,elbow_mean_submovement_amplitude,hand_peak_speed,hand_mean_speed,hand_peak_acceleration,hand_peak_deceleration,hand_peak_jerk,elbow_peak_speed,elbow_mean_speed,elbow_peak_acceleration,elbow_peak_deceleration,elbow_peak_jerk
03_example.mp4_segment_10_Gesture_43.72_44.44,03,L,1,4,4,0.000285821195502909,2.3011831963601215,0.68,0,0.0,0.0,2,0.285076058407099,0.2347578213948472,0.2347578213948472,2,0.15267221212520904,0.3213820419904749,0.1661896979712142,3.4764449039308025,0.24112547228633804,53.87443905099475,0.16194586110191253,0.11687315003595242,1.2513015593146064,0.4617743788334094,20.25430971411386
03_example.mp4_segment_11_Gesture_51.08_52.44,03,L,1,4,4,9.799255588764162e-05,0.0,1.32,2,0.36,4.5,3,0.2610482973412468,0.19584624426821082,0.19584624426821082,3,0.2380714692408219,0.2749149231963918,0.12281463128550436,2.502699919541276,0.2153236724616334,33.27571108924625,0.2676243644232821,0.1242000911725946,2.312434851493923,0.1162748986398919,36.548737977452795
03_example.mp4_segment_12_Gesture_52.76_53.20,03,R,1,2,2,0.0025027132232016505,2.6936393979757005,0.44,0,0.0,0.0,1,0.5964961279378723,0.5964961279378723,0.5964961279378723,1,0.19201050496069674,0.5888571656766833,0.44176505354255013,3.0454674424682953,0.9472462427248161,35.301988542579664,0.19571338038819686,0.12330217672827123,1.054516442733619,0.22705946027748433,17.45419578789976
03_example.mp4_segment_13_Gesture_53.60_53.88,03,R,1,2,2,3.1291157342743044e-05,2.464612304730677,0.28,0,0.0,0.0,1,0.21958087427197032,0.21958087427197032,0.21958087427197032,1,0.21121268210518346,0.22123999991223667,0.13742695818072292,1.6618565611678926,0.3997775463255315,28.37213487969706,0.21337523048891668,0.14590964233192652,1.4363468175202398,0.6146071149178729,24.766376807509936
03_example.mp4_segment_14_Gesture_55.76_56.24,03,L,1,4,4,1.7102328626848505e-05,0.0,0.48,1,0.12,3.0,2,0.16145386665509529,0.11193140282024329,0.11193140282024329,2,0.1102681442710384,0.1408286454842707,0.06530443956408832,1.7274563651935586,0.08888634324692242,24.918114916516448,0.13925163365083526,0.06517316962981766,1.7152474717594786,0.14016300682047428,24.71811277549385
03_example.mp4_segment_15_Gesture_56.56_57.48,03,L,1,4,4,8.76685580797185e-05,0.0,0.88,1,0.16,4.0,2,0.14314378614157366,0.13001443196516438,0.13001443196516438,2,0.13770457081630016,0.18632320083953846,0.09310824129711714,2.5088233314150483,0.15871826829210883,32.62770236631394,0.16052279334436134,0.08521430491629206,1.8571311473919205,0.038334801329076185,21.82523594856141
03_example.mp4_segment_16_Gesture_59.52_60.52,03,L,1,4,4,3.093826167921812e-05,0.0,1.0,2,0.28,3.5,2,0.11578789828625295,0.0981466177830059,0.0981466177830059,2,0.060700846629614454,0.10712400517661293,0.059793362784795044,1.0099900339074601,0.1524858207575876,10.148924458957072,0.07066813335377005,0.03666538876657913,0.6913396634922179,0.09844111891058431,10.242199576794448
03_example.mp4_segment_17_Gesture_61.36_61.92,03,L,1,4,4,0.002855243704266341,2.320592968107862,0.56,0,0.0,0.0,2,0.540422193131008,0.5196229041147147,0.5196229041147147,2,0.3015637485297886,0.5644242638688542,0.3913742882879175,4.4448317625962686,1.4889515593576619,74.38025563086323,0.41352114715961263,0.2457496551644815,3.5359452284042865,0.9328124280426254,54.916705211062975
03_example.mp4_segment_18_Gesture_64.08_64.72,03,R,2,4,2,0.0009915446770165659,2.7926191428856684,0.64,0,0.0,0.0,2,0.5166769802636182,0.4860246165022058,0.4860246165022058,2,0.1680542653045295,0.5276732765434892,0.3307890472963368,4.645227159376652,0.45706947514030793,61.45120550497674,0.22692195964718448,0.1276276531630599,2.0238526311088014,0.1801136570826986,29.90215135278396
03_example.mp4_segment_19_Gesture_68.28_69.80,03,R,2,4,4,0.001185931718811708,2.7562298792442737,1.48,3,0.48,4.0,4,0.43792618412688794,0.21597752047411867,0.21597752047411867,4,0.07362182120515023,0.4594588960503796,0.1702386990990586,2.299657832705048,0.15182618544692464,29.110019480923718,0.12858943173870407,0.05311103402164897,1.0444649078724706,0.09276009727344857,13.806121269068026
