x,y,gesture
-1.3563715,10.099465,malemonologue1_t4-cam22.mp4_segment_2_Gesture_2.37_3.57
-0.58837754,9.524617,malemonologue1_t4-cam22.mp4_segment_3_Gesture_5.33_6.80
-1.049635,9.440318,malemonologue1_t4-cam22.mp4_segment_4_Gesture_7.37_9.33
-1.9002709,10.438397,malemonologue1_t4-cam22.mp4_segment_5_Gesture_9.90_14.90
-0.5483322,9.517197,malemonologue2_t2-cam22.mp4_segment_1_Gesture_1.53_1.97
-0.2634892,10.004889,malemonologue2_t2-cam22.mp4_segment_2_Gesture_3.90_4.47
-1.5553375,9.97932,malemonologue2_t2-cam22.mp4_segment_3_Gesture_5.00_6.37
-0.9156802,11.153245,malemonologue2_t2-cam22.mp4_segment_4_Gesture_8.33_8.63
-1.0691998,10.549316,malemonologue2_t2-cam22.mp4_segment_5_Gesture_8.93_9.40
-0.7076312,9.447774,malemonologue2_t2-cam22.mp4_segment_6_Gesture_9.80_17.03
-1.8902621,10.356429,malemonologue2_t2-cam22.mp4_segment_7_Gesture_18.10_19.30
1.593913,9.311705,test_female.mp4_segment_1_Gesture_0.57_1.00
2.288864,9.710575,test_female.mp4_segment_2_Gesture_5.17_6.57
2.346685,9.772584,test_female.mp4_segment_3_Gesture_7.97_9.48
2.426392,9.848119,test_female.mp4_segment_4_Gesture_9.81_11.11
-1.1588111,12.626714,test_male.mp4_segment_1_Gesture_0.23_3.04
