start_time,end_time,labelid,label,duration
2.0,2.96,1,Gesture,0.96
5.8,6.48,2,Gesture,0.6800000000000006
6.88,8.6,3,Gesture,1.7199999999999998
9.52,10.16,4,Gesture,0.6400000000000006
11.2,11.8,5,Gesture,0.6000000000000014
12.68,13.96,6,Gesture,1.2800000000000011
24.08,24.92,7,Gesture,0.8400000000000034
26.12,26.6,8,Gesture,0.4800000000000004
33.88,34.76,9,Gesture,0.8799999999999955
36.0,37.44,10,Gesture,1.4399999999999977
42.88,45.6,11,Gesture,2.719999999999999
48.76,49.52,12,Gesture,0.7600000000000051
52.04,54.52,13,Gesture,2.480000000000004
59.92,62.28,14,Gesture,2.3599999999999994
63.48,64.52,15,Gesture,1.0399999999999991
66.84,71.08,16,Gesture,4.239999999999995
71.48,71.92,17,Gesture,0.4399999999999977
72.92,73.96,18,Gesture,1.039999999999992
74.32,74.8,19,Gesture,0.480000000000004
75.76,76.44,20,Gesture,0.6799999999999926
77.48,78.24,21,Gesture,0.7599999999999909
84.12,84.92,22,Gesture,0.7999999999999972
88.8,90.32,23,Gesture,1.519999999999996
90.96,97.72,24,Gesture,6.760000000000005
100.24,101.08,25,Gesture,0.8400000000000034
101.8,102.96,26,Gesture,1.1599999999999966
104.2,110.32,27,Gesture,6.11999999999999
112.12,112.92,28,Gesture,0.7999999999999972
113.28,118.6,29,Gesture,5.319999999999993
119.2,120.56,30,Gesture,1.3599999999999994
127.64,128.4,31,Gesture,0.7600000000000051
128.72,129.56,32,Gesture,0.8400000000000034
130.88,133.96,33,Gesture,3.0800000000000125
134.72,135.32,34,Gesture,0.5999999999999943
136.16,139.8,35,Gesture,3.640000000000015
140.36,141.68,36,Gesture,1.3199999999999932
143.04,144.68,37,Gesture,1.6400000000000148
145.4,148.36,38,Gesture,2.960000000000008
149.6,152.04,39,Gesture,2.4399999999999977
